Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20243304,9300,Aalst,house,for-sale,175000175000,60.0,,3.0,1.0,,,To be done up,2.0,,,1899.0,646.0,F,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20243304
20243308,2100,Antwerpen Deurne,loft,for-sale,498000498000,,218.0,2.0,1.0,No,Hyper equipped,As new,4.0,,1.0,,160.0,B,Non flood zone,,12.0,No,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/loft/for-sale/antwerpen%20deurne/2100/20243308
20243303,9230,Wetteren,house,for-sale,295000295000,90.0,137.0,2.0,1.0,No,Hyper equipped,As new,2.0,,,1934.0,154.0,B,,,,,No,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20243303
20243302,9340,Smetlede,house,for-sale,275000275000,431.0,204.0,2.0,1.0,No,Installed,,4.0,,,1899.0,384.0,D,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/smetlede/9340/20243302
20243299,9500,Geraardsbergen,exceptional-property,for-sale,498000498000,2220.0,278.0,3.0,1.0,,Installed,To be done up,4.0,,,1850.0,459.0,E,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/geraardsbergen/9500/20243299
20243298,9506,Geraardsbergen,exceptional-property,for-sale,498000498000,2220.0,278.0,3.0,1.0,,Installed,To be done up,4.0,,,1850.0,459.0,E,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/geraardsbergen/9506/20243298
20191421,8300,Knokke-Heist,flat-studio,for-sale,325000325000345000,,36.0,1.0,1.0,,,As new,,,3.0,1964.0,275.0,C,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/flat-studio/for-sale/knokke-heist/8300/20191421
20243293,3830,Wellen,house,for-sale,445000445000,724.0,213.0,3.0,,,,As new,4.0,,,,40.0,A,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/wellen/3830/20243293
20243289,4000,Lieage,house,for-sale,150000150000,185.0,77.0,2.0,1.0,No,Semi equipped,To be done up,3.0,2.0,,1930.0,297.0,D,Non flood zone,95.0,16.0,,,17,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/20243289
20154329,1500,Halle,apartment,for-sale,320000320000335000,,123.0,3.0,1.0,,Installed,Just renovated,,1.0,1.0,,195.0,B,Non flood zone,,30.0,No,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/20154329
